
Price,Bed_number,Bath_number,Square_foot,Info4,Description,Content,Name
"$6,600 per month",6 Beds,1.5 Baths,"2,216 Sq Ft",Townhouse for Rent,"Newly renovated with tons of light and nice high ceilings.Open layout. Over the 2nd & 3rd floors this unit is quite large, with gleaming hardwood floors, in unit laundry.  Located in the Tufts Area of Medford, 15 minute walk to Davis SQ T.  Amazing patio with a garden. 3-4 off street parking spots are included. (Reference #172892)","252 Harvard St, Medford, MA 02155",
"$3,000 per month",2 Beds,2 Baths,"9,999 Sq Ft",Apartment for Rent,"Introducing 26 Bradlee Road, a stunning new construction in Medford, designed with elegant Polish-European finishes. This modern building offers a unique blend of sleek design and premium details that elevate urban living. Each unit features high-quality craftsmanship, from imported fixtures to contemporary materials, creating a refined and comfortable atmosphere.Located in a vibrant area, 26","26 Bradlee Rd Unit 402, Medford, MA 02155",Vanessa Zeidan
"$5,300 per month",4 Beds,4 Baths,Condo for Rent,,"This nice 4 Bed 4.5 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 06-01-2025.  Included Features are: Rear Porch, and Laundry in Unit.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about","478 Fulton St, Medford, MA 02155",
"$2,500 per month",2 Beds,1 Bath,"1,000 Sq Ft",Apartment for Rent,"LOCATION LOCATION LOCATION steps to GREEN LINE, Ball & Davis Sq!  Available NOW - Spacious and Sunlit 2nd Floor unit  MINUTES to Ball and Davis Square GREEN LINE- Around the corner from cafes, restaurants and bakeries! 2- KING size bedrooms! Double closet in bedroom!  Hardwood Floors- Fully applianced kitchen with a charming pantry! Ceramic Tile bathroom- Living Room and Dining Room- 2 Bedrooms-","10 Wareham St Unit 2, Medford, MA 02155",Kelly Catallo
"$6,975 per month",6 Beds,5 Baths,Condo for Rent,,"Beautiful 6 bedroom, 5.5 bathroom house for rent near TUFTS UNIVERSITY!Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We","5 Malvern Terrace, Medford, MA 02155",
"$3,400 per month",3 Beds,1.5 Baths,"1,200 Sq Ft",Apartment for Rent,"Newly renovated, this home demonstrates pride of ownership. It has granite countertops, stainless steel appliances, and a well-thought-out open floor plan that allows an eat-in kitchen and a ""great room"" that combines space for lounging and dining. The new 3/4 bath has laundry, plus the full bath with a tub. There are porches front and rear. The location is truly convenient to Medford Square with","34 Metcalf St Unit 2, Medford, MA 02155",Timothy Garvey
"$3,500 per month",3 Beds,1 Bath,Condo for Rent,,"This nice 3 Bed 1 Bath place in the MEDFORD - TUFTS area is available for Now.  Included Features are: Gas Heat, Gas Hot Water, Extra Storage, Deck, and Laundry in Basement. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos,","155 Winthrop St Unit 2, Medford, MA 02155",
"$2,800 per month",3 Beds,1 Bath,"1,000 Sq Ft",Apartment for Rent,"Available Now3 bedrooms with 2 off street parking. Large eat in Kitchen, and shared yard. Located on the Medford/Somerville line, walking distance to Davis square, public transportation, and restaurants. washer/dryer hook up in basement. No Pets, no exceptions.","71 Adams St Unit 1, Medford, MA 02155",Isabel Orlandino
"$4,900 per month",4 Beds,2 Baths,"1,700 Sq Ft",Condo for Rent,"Newly Renovated 4-Bedroom 2-bathroom near Tufts University. Walk to T-Station and bus stop. Welcome to this beautiful new renovated, 4-bedroom 2-bathroom apartment spread across two floors and 1700sq feet in well-maintained multi-family home. This spacious unit has been completely renovated with modern updates throughout, making it perfect for roommates or families. Brand new kitchen with","23 Bradford Ave, Medford, MA 02155",
"$4,000 per month",4 Beds,2 Baths,"1,400 Sq Ft",Apartment for Rent,"Spacious 4-bedroom, 2-bathroom apartment located off Fellsway W, offering convenience and comfort. Enjoy a private balcony and shared backyard, with laundry in the basement for added ease. Street parking is available, and pets are negotiable. The unit is just steps away from gyms, restaurants, grocery stores, convenience shops, and parks. With quick access to I-93, commuting is a breeze. Perfect","222 Fellsway W Unit 2, Medford, MA 02155",Joseph Kingston
"$5,200 per month",4 Beds,1 Bath,Condo for Rent,,"This  4 beds 1 bath in Medford is available In a few months.  Parking Street Negotiable Pets? small pets allowed;Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions","84 North St, Medford, MA 02155",
"$4,000 per month",4 Beds,2 Baths,"1,400 Sq Ft",Apartment for Rent,"Spacious 4-bedroom, 2-bathroom apartment located off Fellsway W, offering convenience and comfort. Enjoy a private balcony and shared backyard, with laundry in the basement for added ease. Street parking is available, and pets are negotiable. The unit is just steps away from gyms, restaurants, grocery stores, convenience shops, and parks. With quick access to I-93, commuting is a breeze. Perfect","222 Fellsway W Unit 3, Medford, MA 02155",Joseph Kingston
"$2,900 per month",2 Beds,1 Bath,Condo for Rent,,"Property Id: 1708811Welcome home to this newly renovated 2 bedroom, 1 bathroom apartment minutes from 93! This entire first floor home has been remodeled and renovated boasting a large eat in kitchen with tons of cabinet and countertop space, brand-new stainless-steel appliance package featuring a gas range, hardwood flooring throughout, and in home washer/dryer. 2 off street parking","10 Paris St Unit 1, Medford, MA 02155",
"$4,000 per month",4 Beds,2 Baths,"1,400 Sq Ft",Apartment for Rent,"Spacious 4-bedroom, 2-bathroom apartment located off Fellsway W, offering convenience and comfort. Enjoy a private balcony and shared backyard, with laundry in the basement for added ease. Street parking is available, and pets are negotiable. The unit is just steps away from gyms, restaurants, grocery stores, convenience shops, and parks. With quick access to I-93, commuting is a breeze. Perfect","222 Fellsway W Unit 1, Medford, MA 02155",Joseph Kingston
"$1,750 per month",1 Bed,1 Bath,Condo for Rent,,"This  1 bed 1 bath in Medford is available In a few months. Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are","63 Fellsway W Unit 12A, Medford, MA 02155",
"$4,300 per month",4 Beds,1 Bath,"1,460 Sq Ft",Apartment for Rent,"Newly updated and freshly painted 3 plus bedroom apartment near Tufts. This unit has a large, open concept living and dining area that leads right into the renovated kitchen with brand new appliances, cabinets and counter tops. Enjoy an abundance of natural light throughout the day through the large windows surrounding the main level. Step out onto your private deck to enjoy the fresh air and sip","28 Hancock St Unit 2, Medford, MA 02155",Myles Couyoumjian
"$1,795 per month",Studio,1 Bath,Condo for Rent,,"Nice Studio 1 bath in Medford.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are pledged to this letter and spirit of","63 Fellsway W Unit 2, Medford, MA 02155",
"$4,000 per month",5 Beds,2 Baths,"1,715 Sq Ft",Apartment for Rent,"EXCEPTIONAL UNIT AT A PRIME LOCATION! Two-Level 1,700+ sq.ft spacious apartment available now! Students are welcomed! Furnishing is optional at no additional cost. On the Medford/Somerville line includes numerous upgrades such as new appliances, renovated bathrooms, and recessed lighting. It features in-unit laundry, permit street parking, and a bus stop directly in front of the property,","203 Boston Ave Unit 2, Medford, MA 02155",Winston Sheng Li
"$1,700 per month",Studio,1 Bath,Condo for Rent,,"This quaint Apartment Studio 1 bath in Medford is available In a few months.  Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was","53 Fellsway W Unit 4, Medford, MA 02155",
"$2,300 per month",1 Bed,1 Bath,976 Sq Ft,Apartment for Rent,"Well Maintained One Bedroom Apartment Close to Medford Square with Parking. This first-floor unit features period charm, hardwood floors throughout, and stained glass window. The spacious open-concept layout offers an eat-in kitchen with appliances, dining/living room, spacious bedroom, and space for home office. The updated bathroom includes a tiled shower. Storage features include walk-in","337 Salem St Unit A, Medford, MA 02155",Stewart Woodward
"$1,700 per month",1 Bed,1 Bath,Condo for Rent,,"Beautiful  1 bed 1 bath in Medford is available In a few months.  Cat OKBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We","63 Fellsway W Unit 19, Medford, MA 02155",
"$4,000 per month",4 Beds,1 Bath,"1,000 Sq Ft",Apartment for Rent,"Phenomenal location in Medford for this first floor, four bedroom, just minutes to Tufts University ! Desirable features are: well-maintained hardwood flooring throughout, a fully equipped sun-filled eat in kitchen with spacious food pantry for storage, and various stainless appliances including a dishwasher! Other great amenities are larger bedrooms, ample closet & storage space, a covered back","55 Frederick Ave Unit 2, Medford, MA 02155",Robert Cassano
"$1,850 per month",1 Bed,1 Bath,Condo for Rent,,"This adorable Apartment 1 bed 1 bath in Medford is available In a few months. Parking Street Cat OKBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time","53 Fellsway W Unit 1, Medford, MA 02155",
